,supermarket,category_lvl1_name,category_clean,category_final
0,biggie,Alimentos Especiales                    ,alimentos especiales,Almacén
1,biggie,Almacén                                ,almacen,Almacén
2,biggie,Asado                                   ,asado,Otros
3,biggie,Bebes                                   ,bebes,Bebes
4,biggie,Bebidas con Alcohol                     ,bebidas con alcohol,Bebidas
5,biggie,Bebidas sin Alcohol                     ,bebidas sin alcohol,Bebidas
6,biggie,Carniceria                              ,carniceria,Carnes
7,biggie,Chocolates y Golosinas                  ,chocolates y golosinas,Almacén
8,biggie,Congelados                              ,congelados,Congelados
9,biggie,Fiambreria                              ,fiambreria,Fiambres y Quesos
10,biggie,Frutería y Verdulería                 ,fruteria y verduleria,Frutas y Verduras
11,biggie,Heladeria y Confiteria                  ,heladeria y confiteria,Almacén
12,biggie,Higiene Personal                        ,higiene personal,Farmacia
13,biggie,Lácteos                                ,lacteos,Lácteos
14,biggie,Libreria                                ,libreria,Librería
15,biggie,Limpieza                                ,limpieza,Limpieza
16,biggie,Mascotas                                ,mascotas,Mascotas
17,biggie,Panaderia                               ,panaderia,Panadería
18,biggie,Snacks                                  ,snacks,Almacén
19,biggie,Varios                                  ,varios,Bazar
28,biggie,Condimentos                             ,condimentos,Almacén
70,biggie,,,
352,real,Rostiseria,rostiseria,Otros
921,biggie,FARMACIA                                ,farmacia,Farmacia
1127,real,Cuidado Personal,cuidado personal,Farmacia
1339,real,Cuidado del Bebé,cuidado del bebe,Bebes
1410,real,Cuidado del Hogar,cuidado del hogar,Limpieza
2325,real,Desactivados,desactivados,Otros
2537,real,Frutas y Verduras,frutas y verduras,Frutas y Verduras
2646,real,Bebidas,bebidas,Bebidas
2647,real,Almacén,almacen,Almacén
2648,real,Lácteos y Quesos,lacteos y quesos,Lácteos
2649,real,Saludables,saludables,Almacén
2650,real,Condimentos y Salsas,condimentos y salsas,Almacén
2652,real,Carniceria y Fiambreria,carniceria y fiambreria,Carnes
2653,real,Chocolates y Golosinas,chocolates y golosinas,Almacén
2654,real,Congelados,congelados,Congelados
2659,real,Desayuno y Merienda,desayuno y merienda,Almacén
2660,real,Mascotas,mascotas,Mascotas
2661,real,Panaderia y Confiteria,panaderia y confiteria,Panadería
2662,real,Pastas Frescas,pastas frescas,Pastas Frescas
2664,real,Snacks y Aperitivos,snacks y aperitivos,Almacén
2665,real,Carbones y Encendedores,carbones y encendedores,Otros
